label	tweets
neg	#الوتر_جنة_القلوب سبحانك آللهم و بحمدك أشهد أن لآ إله إلآ أنت أستغفرك و أتوب إليك #كفاره_المجلس 💭✨ .…
neg	نحن قومآ إذا انفجر بركان غضبنا .أخذ معه الأخضر واليابس .لذا رجاء الحذر. #برج_الثور 😈😈 — 🤔
neg	😳انا مش خايفة😳قوي قلبك 😳
neg	مؤلم جدا .. ان تحادث من تحب محتاجا لاهتمامه .. فتتفاجأ باهتمامه بغيرك 💔
neg	طبعا لا 😒 هو اي هبد و فتي و خلاص؟؟ 😑😒 كل واحد يخليه ف بلده احسن 🙂🙂
neg	💎 خطبة مكتوبة بعنوان: “إن الله لا يغير ما بقوم حتى يغيروا ما بأنفسهم “. ✏️ كتبها: عبد القادر الجنيد.…
neg	شعور موجع عندما يكلمك ملجأك الأول وكأنك خياره الأخير 💔
neg	متذكرين لما بتنتظروا بيان التجمع و جدول الاسبوع الجديد .. اسسي ااي واحد عامل فيها محلل سياسي و داير اشكك فيهم الث…
neg	شعور قاسي حينما تزور مكانك القديم الذي لم يعد مكانك الآن، حينما ترى أصدقائك القدامى الذين لم يعودو أصدقائك الآن ..…
neg	هذا عنوان رواية أو مطلع أغنية ❓ راح أكمل عليها بيتين : يايمة قومي طلي شوفي البحر محتاس وانت حايسة في المطب…
neg	لا تحريات الحب 🙈
neg	تراه يشجع شعب الجزائر والسودان على التظاهر ضد الحاكم 🔴وعندما تسأله : لماذا لا تطالب بحقوقك ومشاركتك بإدارة بلدك ؟…
neg	في مكانها مثل امس 🤔
neg	💚🍃🌷📿 🥀 🥀 من السهل أن تضع يدك على فمك كي لآ. تتكلم ولكن من آلصعب أن تضع يدك على قلبك ك…
neg	امطرت بالليل وانا نايمه؟ 😔
neg	أنا ماني مثلهم أمر مرور الكرام أنا فارقه عنهم أهز أقصى أركانگ. ㅤ 😴 ♥️♩❋ ء #عبق_الزهور ㅤㅤ
neg	بنشكر الله انو القلب عضلة مو عظم .. بضل التعضيل ارحم من الكسر 😔
neg	اراجوز بضحك كل خلق الله ببكي بعيد عن عين صحابي عشان ملقاش ف عينهم شفقة ع حالي 💔 #أميرة_البيلى 💕
neg	حتى الحيوانات لها قلوب وتحب 💔 #صباح_الخميس
neg	لا يمكن ان اتعاطف مع اي سعودي من رجال الاعمال قام بالاستعانه بإحانب وسرقوه بل اقول الله يزيدك يا من فضلت الاجنبي اب…
neg	انتي للحين تصيحين ؟ خلاص يا بابا مافي شي يستاهل :( دموعك غالية
neg	*لا هي شماتہ ۈلا هي انتقام بس `* *الزمن لادار تعجبني سسواياهہ ؟* *• ~جآيهه الآيآم~ 😏 `*
neg	دلوقتي لاقانا هادي، ال يعني شوقنا غايب ، ويبان كلامنا عادي ، مع انه كلام حبايب ، وان شوفتوا وياا غيري وطوول في السل…
neg	_ ♨️ اقسم بالله 🍯 👍 🚫 عسل سدر جبلي طبيعي 🚫 💯 💯 💯 💯 😊 من منحلي ال…
neg	لا حول ولا قوة الا بالله 😳 استغفر الله
neg	كلنا نعرف أن الدنيا ما تسوى جناح بعوضه..لكن نفوسنا رديه يادكتوره 😔 (( نركض ورا اللذات والعمر محسوب..…
neg	قد ابدو لك انني اصبحت لا اهتم 💔 لكني اقسم لك انني لم اكن اهتم منذ البداية 😹🚬
neg	جعلكم ماتصدقون 😐
neg	مازعلت ياكافي 🤔
neg	لا اولاه ما اتفقنا كذا 😕
neg	آمي احتاج الى أن اختبئ في رحمك ثانية فقساوة الأيام ارهقت كاهلي،وخذلان احدهم أشعل الرأس شيباا)): 💔
neg	البناخي قال كلمته 😔
neg	واتحدى نفسي بعد 😔
neg	قلبي لبوه من قلب 😞
neg	يارب بهالمطر ماتخليني على قيد ذيك الأمنيه :(
neg	جيتك وفي صدري من البعد ضيقه وأقفيت أخاوي ضيقتي مثل ماجيت :(
neg	ٲليس من العيب ان تحفظ كل الأغاني .. وتكرر نفس السورة في كل صلاة .. 💔
neg	هنام امتي يا دماغي 😒
neg	تبوني او انام 😴
neg	💥يسر المجموعة الدعوية 💥 تقديم الشكر والامتنان لكل من شاركنا 🔻برفع تاق🔻 #التهاون_بالصلاه فالصلاة خير معين على ال…
neg	بيعجبك الصيف وزهقة 😏
neg	💥 حمدا لله .. القيادة كما هي والاعداد في تزايد .. احرسو ثورتكم .. فنحن نقتلع في شجرة جزورها ما زات موجودة .. #اعتصام_القياده_العامه
neg	حرفيا يمثلني 💔
neg	ااجمل من كذذا ماشفت :(
neg	Never forget the way he said "قطر إيه يامعلم إنت عاوز تبوظ عينه هاتله موس موس"
neg	ماذا تفعل عندما تكون وحيدا في غرفتك؟ — كاان زمان بقي 😭
neg	سنخرج معا او نموت معا 💔
neg	الفيديو يحكي قصة اكثر من انه دعاية ولكون العقل يتفاعل ويتحفز بالقصص فا تبقى القصة اقوى وسيلة على الاطل…
neg	الحب إشاعة ..؟ أطلقها شاعر وحيد و حزين ..! — بكيفكم يابه 😶
neg	غلطت مرة وقلت 😔
neg	والله ي فيروز ما حدا ل حدا ✋
neg	#اشراقة_اليوم تغيب الشمس وتشرق شمس العالمي وتنور ليل عشاقه 💛💙 لبى النصر و لبى عشاقة 💛💙 💛💛💙💙 #الاتحاد_النصر…
neg	في وسط الاختبارات 😭
neg	يارب والله مغبونه عليها 😭
neg	متذكرين لما بتنتظروا بيان التجمع و جدول الاسبوع الجديد .. اسسي ااي واحد عامل فيها محلل سياسي و داير اشكك فيهم الث…
neg	هو ابن عوف سلمها ليهو بكل حب و ود.. اخوان اخوان يعني لا اتساكلو لا انقلاب لا بتاع.. وهو…
neg	الله يسمع منك 💔
neg	ريتويت وهوصفك بكلمه Dm. 💥
neg	💚🍃🌷📿 🥀 🥀 من السهل أن تضع يدك على فمك كي لآ. تتكلم ولكن من آلصعب أن تضع يدك على قلبك ك…
neg	البان كيك بتاعى ولا بتاع لابوار 😔
neg	اه يعني للشباب ولا زي كوستا الاصلي 🤔
neg	لا تجادلني في حب الاهلي ، حتي لاتخسرني .. 💔 - اذهب وحب ما تريد ، ف اليوم انا احبه ، وغدا انا أعشقه ، والي الابد س…
neg	ونسمي كداا ونفوت باسبوع كلو امتحانات 😴
neg	اذا الفيفا عارف هالشي غلط مش المفروض يتصرف ويتخذ اجراءه ولا الاتحاد السعودي اقوى منه ولا هاي الشوشرا…
neg	الله يرزقنا 💔
neg	السلام عليكم ورحمة الله وبركاته ✋ متابعيني الكرام 🌺 كما عهدتكم فيكم الخير والبركة ادعموا اختكم ذكرى الشريف برتوي…
neg	مو معقول التوتر هذا ، الله يعدي الليلة على خير 💔
neg	الكونسرت احلى من حياتي 😭
neg	ياساتر .. 🤔 الهلال للمجهول يا خلف ..!! تغريدة كشفها توقيتها .. فيها 👇👇 غرابة .. وكيف .. وإحاطة .. ومجهول
neg	أنا مخنووق 😢 "واصبر لحكم ربك فإنك بأعيننا" إذاي !! 😕 " لا تدري لعل الله يحد…
neg	ويا كثرهم في آخر فتره 💔
neg	والله الثلاثة اتفه من بعض العروس كريهة شو يعني لو الام ركبت و العريس دراما حبتين طلقها عشي تافه و الام نشبة و لزقة…
neg	قعدني من النوم 😒
neg	📍 السلام عليكم. اللهم إن ذنوبنا ليست إستهانة بحقك ولا جهلا واستخفافا بوعيدك وإنما من غلبة الهوى وضعف القوى فنست…
neg	الموضوع داه كبير اوي و عاوز له هندسة فضائيه مع فني لوغاريتمات و خبير مفرقعات لقياس البعد البؤري من نقطة الا…
neg	#GamesOfThrones تسريبات من الحلقه الاولى 😱
neg	يا ساتر 😳 ليه طيب
neg	إن لم تكونوا أوفياء ، فلا تعبثوا بقلوب الأنقياء 🥀
neg	الواحد خايف علي الثوره دي شديد يا رب تكمل زي ما نحن عايزين 👐
neg	أبغى بنت 💔
neg	قآلو ليش أأنت #طيب مع گل هآلنآس ♔ قلت و أيش #عندي عشآن #آتكبر *❌✴ 🔱 ✔#گلنآ مخآليق ألله ورب
neg	📌 بسبب الأحوال الجوية تقرر تأخير امتحان المنتصف لمقرر: الثقافة الإسلامية ليكون: الفترة الأولى: من إلى . ال…
neg	#الفيفا_يرد_احتجاج_الهلال_صحيح حتى الفيفا ضد الاهلي 💔
neg	اللي سهران شاطر شاطر .." واللي نايم يحلم فيني ..' 🤔 #توليب ..'
neg	أحب گل مآ فيگ .. إلا غيآبگ 💔
neg	"تلاتين سنة بترقص .. الليلة رقصتنا" أنا ببكي 😭 دي حلاوة شديدة باخ
neg	يا رب هون بقي 😣
neg	اداء واحد وبعدهاون ذا ناين ..توتر 😭
neg	صباح الخير ✋
neg	ٲليس من العيب ان تحفظ كل الأغاني .. وتكرر نفس السورة في كل صلاة .. 💔
neg	طبيعي من تدخل في ابعاد كلاتنبرغ وعين جلال يستطيع ويملي مايريدة 🤔
neg	اي والله 😥
neg	هل أنت ب حاجه إلى رتويت حقيقي ✴️ وبشكل يومي لتغريداتك؟! 🔃 📍 أكثر من رتويت للتغريده الواحدة ✴️ وخلال ساعه…
neg	ماكذب والله 😭
neg	ما ده ليا 😂 😂 انتي بقي هتاكلي ايه 😔 😂
neg	طز يا بشير .. الشعب يحكم .. رئيسين في يومين .. سودان عظيم ❤️💪🏻🇸🇩🇸🇩
neg	تراه ما كل يوم ويكند 🌚
neg	ياليتني من بين الحظور اه 💔
neg	االسرطان يعرف طريق كل من هو جميل 💔 انشالله هترجع احسن من الاول ربنا يشفيك
neg	#امطار_الشرقيه اللهم كما اغثت الارض اسقي قلبي فرحة تزيل بها الهموم والأحزان وبشرني بما يسرني يارب 💔
neg	الله يشفيه ويقومه بسلامه ويخفف عنهم الوجع ويشفي اختي يا رب ويهون عليها 😭 ويشفي كل مرضى السرطان ويخفف عليهم
neg	المزاج خرب. 😒
neg	اللهم اميين 😭
neg	#زلزل_الملعب_نصرنا_بيلعب #النصر_الاتحاد - عبدالرزاق حمد الله بعد مباراة الهلال قال كلمه للتاريخ : ( إذا ماتثق في…
neg	~~☆ #هناا_الوحي ✋ تحذير للجماهير⚠الصفرااء سلامتك خير من الدنيا ومافيها🚩 ⛔⚠✋ جميع الطرق المؤدية للملعب مغلقة وغردزه…
neg	يا الله 💔
neg	"تلاتين سنة بترقص .. الليلة رقصتنا" أنا ببكي 😭 دي حلاوة شديدة باخ
neg	نزوج ليش مانزوج😂😂💙
neg	يعني عاجبك وضعة في الصورة !! تشوفها شي طبيعي ؟؟ حتى عورتة يارجل ماسترها !! سحقا لهذه ا…
neg	الا هم الي بدا يجن جنونهم لما الشاب والشابه السعوديون بدوا يدخلوا كل المجالات حطوا الوضع عنصرية ونكرا…
neg	((معارض قطرى يكشف: الدوحة أعطت حوثى الجنسية القطرية)) اتوقع بكره يجونا تجار .. ترا عادي اولاد عم عبدالملك الحو…
neg	#ياباب_الحوائج » احسبني بشر الحافي ! 💔
neg	#وش_تعلمت_من_الدنياء ان صاحب الهاشتاق بليد في الإملاء !! 🙈
neg	نبي نتابع بصمت خلاص 🤐
neg	الناس بدت تستعد للفاينل وتذاكر وانا لي اسابيع اداوم من الصباح للساعه وللاسف عندي فاينل الاثنين ولا بديت حتى فيه…
neg	القصة مستمرة وأودا مستمر في كشف قوى الهاكي التي هي أعمق مما نتوقع..هاكي تنبؤ وفاجأنا..هاكي تسلح وفاجأنا..يبقى ال…
neg	ما فد يوم بجيت واحد كلي اني هنا لا تبجين السوال هو ليش تبجين كاتلهم الفضول 🌚
neg	رئيسين في يومين قالو الربيع العربي 😒 نحنا الكتاحه الأفريقية
neg	"اسمع كلامك اصدقك اشوف افعالك استغرب" ' الم تنعتوهم بالمجوس وحاصرتم قطر بسبب إيران وتحاربون #إيران في اليمن 🤔 يا قو…
neg	الوضع الآن 😑 . . #أمطار_قطر #صوت_المطر
neg	كل ما سمعت قصة عن .. “النبي محمد صلى الله عليه و سلم” تمنيت لو أنه عايش بيننا 💔
neg	🚫 اكثروا من الدعاء على #الشيطان 🚫 اكثروا دعائكم اليوم اول جمعه من #شعبان على هذا الشيطان…
neg	بقعد خمس دقايق أقلب المفاتيح فى إيدى و أنور بالموبايل لحد ما أجيب المفتاح الصح .. وأول ما اوصل للباب .. تقوم المفاتيح تقع منى 😡
neg	صباح الخير.. شنو هالكسل و ال طفش و الجو ع طفشانه 😔
neg	🔴 انتصاب اقوى . ⚪ تحسن القدرة الجنسية. ⚫ تؤخر القذف لفترات مطولة 🔵 تعزز القدرة الجنسية 🚫 تزيد كمية السائل…
neg	يمه والله م جرحتهم بس جرحووني ..يمه والله سمعت لهم بس ما سمعوا لي ..يمه والله اهتميت بهمم بس أهملووني..يمه شلت همه…
neg	السلام عليكم ورحمة الله وبركاته ✋ متابعيني الكرام 🌺 كما عهدتكم فيكم الخير والبركة ادعموا اختكم ذكرى الشريف برتوي…
neg	انا بعد جذي اتنرفزز حيلل . 💔
neg	يوم وتاكلين رز 😳
neg	انتقل الى رحمة الله والد صديقتي 💔 اتمنى منكم الدعوات الخالصة "اللهم اغفر له و ارحمه،واعف عنه…
neg	قولوا له هناك في سورية مخطوفين ومخطوفات من سنين وبشار صاحبو ما ينساهم بطريقو 🤔
neg	اغنيه مكملناش #تامر_عاشور 💔 #بصوتي 🎶
neg	"انت حتى السعوديه خساره عليك" 😯
neg	يارب جيوتك بعد 💔
neg	والله مدري اشجع فريقي 💛💙 أو اشجع فريق بابا 💛🖤 🤦🏻‍♀️ بالتوفيق للبابا 🙈 🐪🐪🚶🏻‍♀️ #الاتحاد_النصر
neg	ماخسرتك ابدا ب ششنو حتاجك مثلا '؟ 😏
neg	مدري ليه أعجبني 😰
neg	قال جاي بعد قليل .. 🌚
neg	ليش تذكرت فديوهات قبل الترسيم 😢
neg	شحالكم كلن بحاله ✋
neg	حبيبي انتي حده واحشتني، المرة اليايه ماسامحج اذا ماييتي 😒
neg	لا رايه الاول حلو 🙈
neg	اغنيه مكملناش #تامر_عاشور 💔 #بصوتي 🎶
neg	وفي كل مرة قررت بها أن اكرهك 💔 شعرت😔 بأني أحبك أكثر💜
neg	أمنياتي يا أمي أن يسكنني وجعك وألمك 😔 فوجعك كسر قلبي 💔 #لب☘انﮪ
neg	قبضوا امنجي في في نقطة تفتيش معاه مسدس و قيل مسدسين مافي اي هجوم حصل حركة بتاعت جري بدون سبب و خوف المهم الدوشكا ضر…
neg	تتوقعوا هكر ولا هو لعيب بزيادة 🤔 #ببجي
neg	#الاهلي_الهلال -تحت هذي التغريده تحدي روقان واسرع اذا فاز الهلال ان شاء الله ، اسرع راح يوزع قيمة ايفون X …
neg	سويت لك لايكات رديها لاهنتي 😥
neg	هذه هي الحياة مواقف تصدمگ مواقف تبكيگ 😢 مواقف بحاجة لتجاهلها وتبقى هناگ .. مواقف لا تنسى..
neg	عم بكتب اسمي بالعربي ✍️ كبست سبايس بالغلط 😳 طلع معي هيك👇 خل دون كملت مواد حافظة 😂 حتى عحالي بدي اتهاضم 😑🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️
neg	لايك وهاتابعك وتابعني🤳🏻 عايزين نبقي قوه واحده ايد واحده 💪 علي حب الاهلي اتجمعنا 😍 انا بتابع كل الناس رد الباك وراك 🤔 #قدها__يا__اهلي
neg	حلمت ان الاتحاد فاز على النصر - 😩
neg	منو ساهم ب إسعادك اليوم ؟ — محدش 😔
neg	ما احد يفهم كذاا 💔
neg	والله ابطال ليت الشعب العراقي يسوي مثلكم 😔
neg	عفوا ثلاث نقاط للنصر وليس نقطتين ✋
neg	واو و يقولون هذا تراكنغ ل١٠ ساعات بس 😭
neg	شو عرفك انتي نورملامو تفهمي خسارة عليك بس 😏
neg	البارحة رحنا ابوظبي ورجعنا متأخرين واليوم احس كل شي بجسمي يوجعني وميتة تعب شلون الاثنين حروح بالباص وارجع بالباص 💔…
neg	أسوء أبتلاء أبتلاء التفكير، 😵😓 إنك تكون شخص مدمن تفاصيل تحلل الكلام،😔 تسأل نفسك ف كل موقف ألف سؤال،😱 عقلك مرهق، 😥 وأنت تزيد بالتفكير .😵
neg	ليله ستكتب عنها كل الأقلام ليله ستحصد في التاريخ قاتلوا من أجلنا .. قاتلوا من أجل الكيان .. قاتلوا من أجل م…
neg	عند مغيب شمس كل يوم نهاية يوم من أعمارنا 👈 لن يعود أبدا ✋ اللهم ارزقنا حسن الخاتمة واجعل خير أعمالنا خواتيمها واج…
neg	ارفقو بقلبي يا جماعه و لا عاد تصورون المطر :(
neg	ولا تميل قلوبنا ..!! ألا لمن يصعب علينا امتلاكه 💔
neg	للأسف الحلو بنستهطر به 😔 مش بنمسك في الفرصة✋🏻 يلا ربنا معهم ويفوقوا كدة
neg	يحاسدني عليش #تضوج 😔✋ هم شايف شنو #بصدري مرات ابتسم #مجبور واضحگ من گثر #قهري 💔 🕊️
neg	#رساله_لمن_فقدته سامحني يا ابي وعدتك ألا ابكي ،،فبكيت 💔
neg	لاحول ولا قوة الا بالله العلي العظيم
neg	طيب ادعيلي 😔
neg	مخي قبل لا انام
neg	#وش_يقول_الليل وش السالفة 🤔 البابا يقبل أقدام رئيس جنوب السودان والوفد المرافق له .👇
neg	لا والله باقي ها تعزمنا 💔
neg	ياربيه كيف يساعدونه بدون تردد وخوف الله يرزقهم سعاده الدارين ويسخر لهم عباده الطيبين يارب 😭
neg	#محمد_عبده_جلسه_الرياض هل أنت ب حاجه إلى رتويت حقيقي ✴️ وبشكل يومي لتغريداتك؟! 🔃 📍 أكثر من رتويت للتغريده ا…
neg	معقولة الكلام الكبير هذا يطلع من ناصر القصبي 😳 إللي مايعرف يجمع كلمتين على بعض في أي مقابلة تلفزيونية وتخلص المقابل…
neg	"ازعل" "اتوجع" اكتئب" 💔👍 بس يوم ماتقرر تواجه خلي الجبروت يتعلم منك ✋
neg	القلي بالهواء الساخن VS القلي العادي مهم قبل #رمضان تاخذ فكرة عن الموضوع 🙃
neg	ماهو المنهج الوصفي التحليلي ؟! 🤔
neg	لعب فينا البعوض 😤
neg	ليبيا: معارك دائره بين الخائن حفتر والمجلس الوطني للوفاق السودان: ثوره وانقلابات وانشقاقات الجزائر :ثوره ووعي عشا…
neg	احلى شعور تروح مكان ماتعرف احد فيه ، بس تتعرف على احد فيه يحلي هالمكاان .. ياحبيبي هالوجه :( - ر
neg	لو سمحتو ازا ممكن ما فيها غلبة يعني سنسنال فضة فلسطين 💔
neg	#قدها__يا__اهلي اللهم ريمونتادا بكره 👐
neg	قسم بالله لو مافي تويتر راح اكون اه 😥
neg	قبل النوم أذكرك على الحلم يجمع مآ فرقته الأيآم :( !
neg	والله كنت بشك ف نفسي الحمدلله طلعت مش لوحدي 😴
neg	📌 أجمل وأهم هدف للنصر.. بس لا حظوا إصرار الجميعة بعد ما خرجت الكرة ضربة زاوية وسرعة التنفيذ خمس ثواني فقط من خروج…
neg	متأكد 😲 لا لا لا لا مستحيل
neg	ღ♬ . . أسلى مع طيفك الين إنتعشتك عشان مااحس بغيابك على طول ياجعلها في ذمتك ماوحشتك 💔 #تصميمي…
neg	زعيم #داعش في #اليمن يصل الى سيئون 💔 #حرم_السفير
neg	كل الايام عاديه الا هذاك اليوم :(
neg	أتمنى م يزوجون من برا العائله راح يخرب النسل حقهم، هم إبداعهم بين بعض
neg	يعمري كيف كبرنا 😢
neg	وفاة تلو الوفاة .. 💔 #اللهم إن كنت أنا القادمة فأحسن خاتمتي وسخر لي من يدعو لي دون ملل ..
neg	😂 💔 انا ماضحكني الا الرجال مو عارف وين الله حاطه
neg	بعض الناس اذا ماسويتي الي يبون بدوا يمارسون حيل نفسيه وهي الضرب على وتر تأنيب الضمير عندك ( ماتوقعتك كذا ) (توقعتك…
neg	رئيسين في يومين قالو الربيع العربي 😒 نحنا الكتاحه الأفريقية
neg	🇵🇸✌ حالة الطرق🇵🇸 *حالة الطرق لهذا الصباح ..* *《 السبت /04/2019م 》* 🚦 *حركة مرورية نشطة على كافة المفترقات و ا…
neg	اوف ليش العنصرية ذي كلهم عيال شهور 😕
neg	الدنيا غرقت امطار و برد كل هذا وانا نايمه 😭
neg	هه ذكرتيني زرفت سماعة واحد من اخواني الصغار وحطيت عليها مناكير يحسبها لي وقعد يدور حقته مايدري…
neg	احتاج الوليد بن طلال يلاعبني زي بنته 😿 اغديه يعطيني فلوس #وش_تعلمت_من_الدنياء
neg	ماجيتك ياتويتر. وانا حالتي عال ماجيتك ألاوانا فيه الفين عله 💔
neg	✿: 💕 أغار على من أحب"🙁 " غيرتي تصل للبكاء" 😭 " ﻻ أحب الإنتظار" 🕔 "أفقد أعصابي بسرعه" 😡 "وأكره فكرة إنشغال من أحب…
neg	بحترم جدآ الناس إلي لو غلطت تعتذر ومتكبرش ولا تتكبر. تحيه لحضرتك ✋
neg	اسامة منير بيقربلك يا بلحة 🤔
neg	لا تخافي على نفسك من رجل يعشق أمه ✋ فمن يقدر إمرأه خلق في أحشائها ، لا يؤذي إمرأه يحبها ❤️
neg	انتظرك ولازلت متمسك فيك وغيري للأسف فيك يقهرني 💔
neg	نحن نعيد تاريخهم مره شفت وثائقي لاحظت فيه العلماء اللي عاشو اواخر التشدد المسيحي اشلون في ابحاثهم واخترا…
neg	صاحية من النوم والشياطين راكبيتني 🙈
neg	ما رددوا يمه ، يبه ضمن الأصوات 😔 لأن أساميهم يتيم ويتيمة 💔 لكن .. ! كليب | من لليتامى
neg	وماادراك ماابي 😢
neg	أنا منبهره بالشخص اللي حبيته كل مره اشوفها احس اني اول مره اشوفها فعلا مبهره مذهله تملائك بالاسئله :(
neg	محد يحب ادهم نابلسي كثري :(
neg	💚🍃🌷📿 🥀 🥀 من السهل أن تضع يدك على فمك كي لآ. تتكلم ولكن من آلصعب أن تضع يدك على قلبك ك…
neg	فعلا ناكرات معروف تشتغل ساعه بس وتشردد !!
neg	الحياة الدنيا حياة تجمع بين المتناقضات ففيها السعادة والشقاء والحزن والفرح والصحة والمرض والنجاح والف…
neg	مي تو اشوفه وانا من داخلي مقهوره 😭
neg	هاام: انا زي تينا بالظبط
neg	أحبك بكل ما أوتيت من مرض 💔 #صوت_الحق_للدعم #كروب_الزهور_للدعم #النرجس_للدعم #اميره_الموسم #عراق_الخير
neg	نامجون داعس علينا ماكسرنا رقمه 😭
neg	ليبيا: معارك دائره بين الخائن حفتر والمجلس الوطني للوفاق السودان: ثوره وانقلابات وانشقاقات الجزائر :ثوره ووعي عشا…
neg	السلام عليكم ورحمة الله وبركاته #مسابقه_ابوغلا ┅━❀ 🌿🌸🌿❀━┅ اكتب شي تؤجر عليه 🥀الجوائز🥀…
neg	يارب أمطر على قلوبنا رضا وفرحا ينسيها كل ماأحزنها 💔 #ساعه_استجابه
